movieId,reviews,critic_reviews,metascore,Budget,US_and_Canada_Gross,Opening_Weekend,Global_Gross,Runtime,imdb_rating
7458,1900,210,56,175000000,133378256,46865412,497409852,163,7.3
7459,50,67,71,12000000,216335,17945,10781635,145,7.6
7460,185,84,65,0,2198924,99162,8010845,95,7
7477,184,85,0,55000000,79161,32300,6632383,96,5.3
7479,71,21,0,0,0,0,0,114,7.1
7481,167,77,59,40000000,12303411,1594702,12303411,108,6.8
7482,375,150,83,850000,25259,0,114252,102,7.6
7486,118,63,70,4200000,320319,0,1143695,96,7.7
7487,62,29,62,0,11567449,1032942,23472449,136,6.3
7492,107,112,68,80000,0,0,0,95,7
7493,70,34,58,965000,0,0,0,91,7.2
7541,137,15,0,0,0,0,132555,94,5.8
7560,194,74,75,0,3924000,0,0,112,8
7561,74,39,0,0,241278,6687,241278,92,6.6
7562,91,37,0,33000000,0,0,0,103,6.5
7564,114,104,0,350000000,0,0,0,183,7.9
7566,11,16,0,0,0,0,0,136,8.2
7569,384,132,61,9500000,43084787,0,43095926,117,6.8
7570,340,100,63,27500000,67893619,8902564,67917094,131,6.5
7572,126,18,0,0,0,0,0,99,8
7573,303,84,68,36000000,55432841,10958157,55432841,134,6.1
7579,162,29,84,0,0,0,0,118,7.4
7581,242,41,0,2375000,0,0,0,114,7
7584,95,35,74,0,0,0,0,114,7.1
7587,166,115,0,0,39481,39481,0,105,8
7614,124,47,74,5000000,0,0,15520,145,7
7615,60,26,67,1250000,2492088,0,2492088,91,7.1
7616,240,141,69,10000000,8801940,2837978,8801940,114,6.8
7618,219,62,47,31000000,9493259,84669,9493259,143,7.5
7619,116,52,83,500000,0,0,4139,106,8.1
7620,11,8,0,0,311245,0,311245,87,7.5
7624,105,22,65,18000000,14715067,3020071,14715067,106,6.9
7636,126,68,42,12000000,21370057,6203835,37170057,92,6.1
7646,318,23,0,0,0,0,0,254,6.7
7647,120,22,65,12000000,2280148,981452,2280148,101,7.4
7649,36,9,0,0,0,0,0,94,7.7
7650,181,100,0,83000,0,0,0,86,6.7
7657,226,99,0,400000,0,0,55500,119,6.3
7669,475,18,0,0,0,0,0,327,8.8
7698,142,72,81,6000000,51718367,0,51718367,122,7.4
7700,201,150,85,0,0,0,1098,131,8.2
7701,52,17,0,0,47789074,8100640,47789074,81,4.7
7702,75,51,0,0,21333333,0,21337978,126,7.2
7704,172,82,37,12000000,17768900,5959505,17768900,125,5.6
7705,69,23,79,0,0,0,11884,95,6.9
7706,106,53,77,0,910015,0,0,97,7.4
7707,26,20,0,0,9804775,2857164,9804775,115,5.7
7708,108,42,77,600000,0,0,0,103,6.8
7713,204,143,85,134000,0,0,0,73,7.2
7714,121,43,70,13000000,0,0,0,179,6.5
7716,52,34,45,0,5718573,2072130,5718573,90,6.2
